week_start,iso_year,iso_week,week_index,state,district,rainfall_mm,turbidity_NTU,sanitation_index,temp_C,DO_mg_L,pH,conductivity_uS_cm,BOD_mg_L,nitrate_mg_L,fecal_coliform_MPN_100mL,total_coliform_MPN_100mL,cases_week,outbreak_label
04-01-2021,2021,1,2021-W01,Sikkim,South Sikkim,12.3,0.5,0.73,5.5,8.23,6.95,57.1,1.83,0.11,14,141,0,Low
04-01-2021,2021,1,2021-W01,Arunachal Pradesh,Papum Pare,2.2,3.53,0.7,27.3,6.27,7.15,57,2.46,0.62,1308,1948,14,Medium
04-01-2021,2021,1,2021-W01,Arunachal Pradesh,East Kameng,2.6,3.46,0.48,21.7,5.28,7.63,154.5,3.64,2.01,617,2753,21,High
04-01-2021,2021,1,2021-W01,Arunachal Pradesh,West Siang,7.6,4.38,0.59,21.7,7.32,7.27,217.9,1.89,3.62,1258,747,5,Medium
04-01-2021,2021,1,2021-W01,Arunachal Pradesh,Tawang,7.8,3.94,0.65,28.7,4.49,8.12,189.3,2.21,2.51,697,1364,21,High
11-01-2021,2021,2,2021-W02,Assam,Kamrup Metro,17.7,3.9,0.42,25.5,7.66,8.33,95.3,3.09,5.04,1733,2001,44,High
11-01-2021,2021,2,2021-W02,Assam,Dibrugarh,6.4,7.15,0.84,23.5,8.39,6.82,204.1,22.93,2.57,920,2132,18,High
11-01-2021,2021,2,2021-W02,Assam,Jorhat,5.6,2.02,0.43,35.5,5.34,6.6,402.3,4.42,4.58,836,1777,24,High
11-01-2021,2021,2,2021-W02,Assam,Nagaon,7.7,6.17,0.59,25.4,1.93,7.96,210.7,14.98,3.63,2642,3641,27,High
11-01-2021,2021,2,2021-W02,Meghalaya,East Khasi Hills,7,2.98,0.31,18.4,3.29,8.12,107.7,2.97,1.17,330,1132,0,Low
11-01-2021,2021,2,2021-W02,Meghalaya,West Khasi Hills,1.8,3.27,0.24,18.4,4.83,7.53,210.3,2.75,3.87,462,1407,0,Low
11-01-2021,2021,2,2021-W02,Meghalaya,Ri-Bhoi,1,0.5,0.73,18.2,6.95,7.76,155,1.71,0.39,0,906,0,Low
11-01-2021,2021,2,2021-W02,Meghalaya,South West Garo Hills,6.7,1.68,0.24,16.3,6.41,8.27,112.8,1.54,1.98,292,834,0,Low
11-01-2021,2021,2,2021-W02,Manipur,Imphal West,3,1.72,0.76,19.9,7.07,7.44,218.9,3.5,1.31,19,63,6,Medium
11-01-2021,2021,2,2021-W02,Manipur,Imphal East,7.8,0.88,0.37,25,7.09,7.12,436.1,3.52,0.15,12,53,7,Medium
11-01-2021,2021,2,2021-W02,Manipur,Churachandpur,5.7,0.5,0.75,26.2,7.61,7.69,425.2,3.4,1.48,17,97,4,Medium
11-01-2021,2021,2,2021-W02,Manipur,Thoubal,4.3,2.19,0.33,26.4,6.31,7.28,519.2,4.06,1.46,31,100,5,Medium
11-01-2021,2021,2,2021-W02,Mizoram,Aizawl,1.2,1.93,0.37,31.1,3.8,8.01,143.5,1.24,0.7,914,619,42,High
11-01-2021,2021,2,2021-W02,Mizoram,Lunglei,2.9,2.77,0.46,22.6,4.01,5.76,267,1.22,0.41,2411,1537,18,High
11-01-2021,2021,2,2021-W02,Mizoram,Kolasib,4.1,1.97,0.79,21.5,3.13,8.06,217.3,1.59,0.69,897,1174,22,High
11-01-2021,2021,2,2021-W02,Mizoram,Serchhip,3.8,2.26,0.5,28.1,4.25,5.93,157.1,1.59,0.72,907,1275,27,High
11-01-2021,2021,2,2021-W02,Nagaland,Kohima,3.1,2.43,0.63,30.9,5.54,7.23,167.3,2.23,5.48,531,1287,6,Medium
11-01-2021,2021,2,2021-W02,Nagaland,Dimapur,2,1.58,0.53,28.2,5.65,7.61,195.3,1.4,6.63,521,888,4,Medium
11-01-2021,2021,2,2021-W02,Nagaland,Mokokchung,2.1,3.77,0.47,35,5.53,6.83,227.7,1.04,0.98,449,1379,0,Low
11-01-2021,2021,2,2021-W02,Nagaland,Wokha,0.8,2.82,0.61,33.4,5.45,7.07,212.2,1.94,5.48,559,1416,4,Medium
11-01-2021,2021,2,2021-W02,Tripura,West Tripura,11.2,2.85,0.69,30,4.94,7.32,182.5,1.41,0.83,30,262,0,Low
11-01-2021,2021,2,2021-W02,Tripura,North Tripura,7.9,2.06,0.67,28.2,5.14,6.5,223.4,1.27,0.83,31,266,0,Low
11-01-2021,2021,2,2021-W02,Tripura,South Tripura,1.3,1.43,0.41,24.3,4.31,7.48,174.2,1.64,0.9,36,253,0,Low
11-01-2021,2021,2,2021-W02,Tripura,Sepahijala,6.1,1.76,0.52,27,4.54,7.36,131.9,1.23,0.87,35,381,0,Low
11-01-2021,2021,2,2021-W02,Sikkim,East Sikkim,1.8,0.5,0.83,2.3,8.14,7.37,70.6,1.77,0.47,30,119,0,Low
11-01-2021,2021,2,2021-W02,Sikkim,North Sikkim,1.8,0.82,0.68,13,7.95,7.22,99.7,1.71,0.48,28,144,0,Low
11-01-2021,2021,2,2021-W02,Sikkim,West Sikkim,1.2,1.64,0.8,4.1,8.49,6.89,50.8,1.85,0.22,30,81,0,Low
11-01-2021,2021,2,2021-W02,Sikkim,South Sikkim,2.4,2.01,0.51,4,8.28,6.71,120.9,1.72,0.19,22,107,1,Low
11-01-2021,2021,2,2021-W02,Arunachal Pradesh,Papum Pare,4.3,1.12,0.63,28.1,5.41,7.54,199.3,2.38,2.64,586,2333,8,Medium
11-01-2021,2021,2,2021-W02,Arunachal Pradesh,East Kameng,1.9,0.59,0.48,26.1,6.92,6.92,74,1.19,1.33,969,1259,10,Medium
11-01-2021,2021,2,2021-W02,Arunachal Pradesh,West Siang,0.9,2.31,0.39,31.1,6.35,6.84,270.5,1.56,2.84,1436,1677,7,Medium
11-01-2021,2021,2,2021-W02,Arunachal Pradesh,Tawang,2,3.14,0.67,21.9,4.08,7.94,266.4,2.92,2.44,975,2635,27,High
18-01-2021,2021,3,2021-W03,Assam,Kamrup Metro,2.1,4.38,0.64,28.1,0.39,7.31,425.5,19.19,2.56,1618,2769,31,High
18-01-2021,2021,3,2021-W03,Assam,Dibrugarh,7.7,2.36,0.54,20.3,0.73,7.83,370.2,5.72,4.33,1610,1939,19,High
18-01-2021,2021,3,2021-W03,Assam,Jorhat,9.3,3.38,0.2,35.6,1.91,7.69,249.8,6.92,4.27,1544,2262,27,High
18-01-2021,2021,3,2021-W03,Assam,Nagaon,0.8,7.21,0.24,36.7,5.39,8.25,369.3,24.31,4.55,1329,2529,21,High
18-01-2021,2021,3,2021-W03,Meghalaya,East Khasi Hills,2.3,2.03,0.61,20.1,6.03,7.78,206.3,2.83,3.86,431,1101,0,Low
18-01-2021,2021,3,2021-W03,Meghalaya,West Khasi Hills,4.5,0.5,0.53,14.5,2.79,8.23,60.5,1.71,1.21,147,1148,1,Low
18-01-2021,2021,3,2021-W03,Meghalaya,Ri-Bhoi,2.6,2.18,0.62,15.1,7.18,8.05,184.6,3.12,2.73,601,968,26,High
18-01-2021,2021,3,2021-W03,Meghalaya,South West Garo Hills,7.1,1.95,0.68,19,8.59,8.19,163,2.11,3.39,213,1378,0,Low
18-01-2021,2021,3,2021-W03,Manipur,Imphal West,9.6,0.5,0.79,18.7,6.68,7.35,504.5,3.6,0.71,32,103,12,Medium
18-01-2021,2021,3,2021-W03,Manipur,Imphal East,10.4,2.39,0.35,20.3,7.69,7.29,478.6,3.88,1.15,20,61,8,Medium
18-01-2021,2021,3,2021-W03,Manipur,Churachandpur,3,2.26,0.78,24.5,7.41,7.65,510.6,3.87,1.25,26,59,9,Medium
18-01-2021,2021,3,2021-W03,Manipur,Thoubal,3.4,0.99,0.51,26.6,6.86,7.39,156.9,3.54,1.27,12,104,4,Medium
18-01-2021,2021,3,2021-W03,Mizoram,Aizawl,2.1,1.61,0.73,27.4,3.47,7.96,25,1.53,0.32,1002,888,39,High
18-01-2021,2021,3,2021-W03,Mizoram,Lunglei,1.3,1,0.45,24.5,4.32,6.99,125.6,1.34,0.52,1706,1094,19,High
18-01-2021,2021,3,2021-W03,Mizoram,Kolasib,6.1,2.78,0.56,24.3,3.13,6.23,297.9,1.47,0.36,1538,1597,13,High
18-01-2021,2021,3,2021-W03,Mizoram,Serchhip,11.9,1.24,0.58,22,3.77,7.57,93,1.56,0.76,1503,1003,18,High
18-01-2021,2021,3,2021-W03,Nagaland,Kohima,7,3.15,0.48,25.9,5.63,7.27,177.7,2.26,5.09,338,1142,0,Low
18-01-2021,2021,3,2021-W03,Nagaland,Dimapur,1.2,1.57,0.76,23.1,5.4,7.8,140.8,2.55,6.42,901,1424,9,Medium
18-01-2021,2021,3,2021-W03,Nagaland,Mokokchung,6.3,2.85,0.43,24.2,5.57,7.66,233.6,2.52,3.64,419,701,0,Low
18-01-2021,2021,3,2021-W03,Nagaland,Wokha,1.7,3.45,0.47,29.4,5.61,7.63,129.1,1.83,5.88,478,573,0,Low
18-01-2021,2021,3,2021-W03,Tripura,West Tripura,4.5,2.16,0.76,31.2,4.58,6.56,122,1.22,0.88,29,333,0,Low
18-01-2021,2021,3,2021-W03,Tripura,North Tripura,4.6,2.56,0.74,26.7,4.75,6.7,146.1,1.56,0.7,31,319,0,Low
18-01-2021,2021,3,2021-W03,Tripura,South Tripura,4.5,1.77,0.63,31.4,4.71,7.68,165,2.18,0.59,28,210,0,Low
18-01-2021,2021,3,2021-W03,Tripura,Sepahijala,3.8,1.45,0.59,23.6,4.44,6.59,151.1,1.13,0.59,33,372,0,Low
18-01-2021,2021,3,2021-W03,Sikkim,East Sikkim,6.9,3.78,0.63,3.6,8.37,7.22,37.8,1.79,0.31,21,125,0,Low
18-01-2021,2021,3,2021-W03,Sikkim,North Sikkim,6.9,1.39,0.48,3.1,8.18,6.92,90,1.73,0.16,19,121,1,Low
18-01-2021,2021,3,2021-W03,Sikkim,West Sikkim,2,1.2,0.62,4,8.03,7.27,123.5,1.71,0.48,28,87,0,Low
18-01-2021,2021,3,2021-W03,Sikkim,South Sikkim,7.2,2.13,0.59,7.6,8.34,7.16,109.2,1.79,0.28,32,84,0,Low
18-01-2021,2021,3,2021-W03,Arunachal Pradesh,Papum Pare,1.5,0.88,0.73,30.7,4.48,6.96,93.4,2.38,1.11,1294,1784,38,High
18-01-2021,2021,3,2021-W03,Arunachal Pradesh,East Kameng,10.7,1.39,0.95,22.7,6.53,7.02,43.7,2.06,0.95,551,416,6,Medium
18-01-2021,2021,3,2021-W03,Arunachal Pradesh,West Siang,4,2.48,0.35,33.2,7.91,6.33,51.7,2.18,1.83,1277,1307,4,Medium
18-01-2021,2021,3,2021-W03,Arunachal Pradesh,Tawang,5.2,3.66,0.6,33.4,5.59,7.36,195.8,1.34,3.87,1231,2335,6,Medium
25-01-2021,2021,4,2021-W04,Assam,Kamrup Metro,5.3,7.42,0.57,28.5,6.36,8.46,268,20.51,3.12,1427,3039,51,High
25-01-2021,2021,4,2021-W04,Assam,Dibrugarh,4.2,6.53,0.8,26.9,5.8,7.34,439.9,20.94,5.48,848,1517,18,High
25-01-2021,2021,4,2021-W04,Assam,Jorhat,2.7,4.33,0.79,29.5,2.71,8.37,253.1,9.43,5.01,1006,1982,24,High
25-01-2021,2021,4,2021-W04,Assam,Nagaon,1.5,6.51,0.2,32.9,6.33,7.64,151.2,23.72,4.4,1174,1429,26,High
25-01-2021,2021,4,2021-W04,Meghalaya,East Khasi Hills,2.5,2.15,0.56,16.4,7.92,7.9,125.6,3.83,2,202,679,8,Medium
25-01-2021,2021,4,2021-W04,Meghalaya,West Khasi Hills,9.9,1.4,0.74,13.4,3.49,7.85,34,1.92,0.36,248,1047,1,Low
25-01-2021,2021,4,2021-W04,Meghalaya,Ri-Bhoi,9.8,1.82,0.36,19.7,3.88,8.52,124.4,3.02,1.53,212,694,24,High
25-01-2021,2021,4,2021-W04,Meghalaya,South West Garo Hills,1.4,3.32,0.44,20.7,4.71,8.1,185.1,3.51,3.81,715,1239,16,High
25-01-2021,2021,4,2021-W04,Manipur,Imphal West,1.6,3.02,0.64,21.4,6.62,7.64,189.1,3.03,1.28,18,68,7,Medium
25-01-2021,2021,4,2021-W04,Manipur,Imphal East,15.4,1.75,0.82,22.5,6.75,7.25,175,3.09,1.49,25,39,6,Medium
25-01-2021,2021,4,2021-W04,Manipur,Churachandpur,7.7,1.1,0.55,28.9,7.77,7.08,342.8,3.65,0.96,21,56,9,Medium
25-01-2021,2021,4,2021-W04,Manipur,Thoubal,1.9,1.36,0.43,28,6.93,7.06,207.6,3.19,0.19,18,55,3,Medium
25-01-2021,2021,4,2021-W04,Mizoram,Aizawl,3,0.71,0.54,19.7,4.01,6.64,28.3,1.69,0.57,577,744,44,High
25-01-2021,2021,4,2021-W04,Mizoram,Lunglei,4,0.68,0.57,25.5,2.71,6.8,95.9,1.22,0.69,1926,1643,21,High
25-01-2021,2021,4,2021-W04,Mizoram,Kolasib,6.8,1.75,0.57,21.1,3.13,5.91,286.4,1.07,0.41,1243,971,23,High
25-01-2021,2021,4,2021-W04,Mizoram,Serchhip,0.2,1.94,0.5,31.6,4.82,7.68,35.1,1.34,0.37,716,1490,15,High
25-01-2021,2021,4,2021-W04,Nagaland,Kohima,1.3,0.99,0.48,26.1,5.51,6.97,126.9,2.18,5.83,488,818,0,Low
25-01-2021,2021,4,2021-W04,Nagaland,Dimapur,5.5,2.83,0.38,35.5,5.53,7.06,102.5,2.51,2.75,777,611,7,Medium
25-01-2021,2021,4,2021-W04,Nagaland,Mokokchung,8.6,1.12,0.7,28.9,5.41,6.97,209.5,1.32,1.47,687,565,2,Medium
25-01-2021,2021,4,2021-W04,Nagaland,Wokha,11.5,1.6,0.56,31.2,5.69,7.49,180,1.27,4.15,525,835,2,Medium
25-01-2021,2021,4,2021-W04,Tripura,West Tripura,5.2,1.55,0.85,24.7,4.16,7.34,200.8,1.12,0.73,34,220,0,Low
25-01-2021,2021,4,2021-W04,Tripura,North Tripura,2.9,0.95,0.79,28.1,4.73,7.63,169.1,1.23,0.7,34,353,0,Low
25-01-2021,2021,4,2021-W04,Tripura,South Tripura,11.8,0.5,0.4,28.1,5.12,6.8,162.9,1.62,0.77,39,226,0,Low
25-01-2021,2021,4,2021-W04,Tripura,Sepahijala,1.5,2.53,0.77,28.1,4.17,7.68,145.7,2.06,0.82,32,227,0,Low
25-01-2021,2021,4,2021-W04,Sikkim,East Sikkim,23.3,1.42,0.52,12.8,8.42,7.32,86.8,1.81,0.47,16,113,0,Low
25-01-2021,2021,4,2021-W04,Sikkim,North Sikkim,5.9,0.86,0.42,9.8,8.47,6.89,104.7,1.87,0.17,27,129,0,Low
25-01-2021,2021,4,2021-W04,Sikkim,West Sikkim,7.8,2.84,0.66,9,8.29,7.35,33.9,1.71,0.14,22,136,0,Low
25-01-2021,2021,4,2021-W04,Sikkim,South Sikkim,5.4,2.09,0.58,10.5,8.58,7.16,40.3,1.71,0.28,37,103,0,Low
25-01-2021,2021,4,2021-W04,Arunachal Pradesh,Papum Pare,0.2,1.5,0.88,18.3,5.02,6.46,228.9,3.14,2.65,710,2176,30,High
25-01-2021,2021,4,2021-W04,Arunachal Pradesh,East Kameng,2.9,3.19,0.75,31,5.72,6.73,133.3,3.86,0.9,895,2117,19,High
25-01-2021,2021,4,2021-W04,Arunachal Pradesh,West Siang,4.7,2.44,0.85,24.5,4.73,7.22,209.7,3.18,2.2,625,2742,18,High
25-01-2021,2021,4,2021-W04,Arunachal Pradesh,Tawang,12,2.73,0.59,22.6,4.64,8.05,134.4,3.06,1.41,1020,2173,24,High
01-02-2021,2021,5,2021-W05,Assam,Kamrup Metro,18.1,5.5,0.64,30.7,5.28,7.15,203.7,11.27,3.37,1489,3084,40,High
01-02-2021,2021,5,2021-W05,Assam,Dibrugarh,11.5,5.43,0.78,27.3,7.41,8.34,251.7,4.7,0.69,1638,2659,20,High
01-02-2021,2021,5,2021-W05,Assam,Jorhat,2.8,5.26,0.58,23.1,7.84,8.38,262.1,11.34,5.04,1384,2423,19,High
01-02-2021,2021,5,2021-W05,Assam,Nagaon,6.3,4.65,0.6,26.4,3.65,6.82,418,16.87,1.44,1992,711,21,High
01-02-2021,2021,5,2021-W05,Meghalaya,East Khasi Hills,9.8,2.25,0.52,13.5,5.44,7.29,110.8,2.25,3.25,293,1304,0,Low
01-02-2021,2021,5,2021-W05,Meghalaya,West Khasi Hills,6.3,1.68,0.52,15.7,5.74,7.43,180,3.41,1.82,336,750,3,Medium
01-02-2021,2021,5,2021-W05,Meghalaya,Ri-Bhoi,0.7,0.5,0.49,18.8,6.8,7.92,85,1.16,2.39,265,364,0,Low
01-02-2021,2021,5,2021-W05,Meghalaya,South West Garo Hills,0.3,1.8,0.67,16.3,3.47,6.98,183.8,1.25,4.72,376,682,0,Low
01-02-2021,2021,5,2021-W05,Manipur,Imphal West,4.2,0.5,0.47,21.1,7.44,7.1,387.6,3.08,0.93,27,91,13,Medium
01-02-2021,2021,5,2021-W05,Manipur,Imphal East,4.9,2.64,0.66,18.7,6.83,7.67,314.1,3.89,0.9,23,94,1,Medium
01-02-2021,2021,5,2021-W05,Manipur,Churachandpur,4,2.54,0.76,25.7,6.49,7.69,374.6,3.27,0.74,18,106,7,Medium
01-02-2021,2021,5,2021-W05,Manipur,Thoubal,7.1,2.29,0.58,25.6,7.22,7.73,124.4,3.83,1.2,28,106,2,Medium
01-02-2021,2021,5,2021-W05,Mizoram,Aizawl,5.2,1.82,0.66,29.1,4.36,8.09,302,1.49,0.34,1341,1198,43,High
01-02-2021,2021,5,2021-W05,Mizoram,Lunglei,7.4,1.47,0.64,29,3.15,7.95,249.4,1.1,0.8,648,1280,17,High
01-02-2021,2021,5,2021-W05,Mizoram,Kolasib,11.8,0.54,0.77,27.8,3.88,7.84,117.1,1.44,0.48,1759,488,16,High
01-02-2021,2021,5,2021-W05,Mizoram,Serchhip,4.3,2.3,0.63,25.3,2.8,7.54,189.8,1.46,0.53,1143,780,18,High
01-02-2021,2021,5,2021-W05,Nagaland,Kohima,13,2.28,0.76,24.2,5.54,7.01,161.3,1.03,5.86,227,950,0,Low
01-02-2021,2021,5,2021-W05,Nagaland,Dimapur,13,2.73,0.77,29.1,5.68,7.04,174.4,1.09,2.31,819,1133,11,Medium
01-02-2021,2021,5,2021-W05,Nagaland,Mokokchung,7.1,3.87,0.83,35.3,5.59,6.88,111.4,1.62,5.68,408,1669,0,Low
01-02-2021,2021,5,2021-W05,Nagaland,Wokha,4.6,3.34,0.7,24.5,5.49,7.22,186.6,2.29,5.57,475,1084,0,Low
01-02-2021,2021,5,2021-W05,Tripura,West Tripura,2.9,2.69,0.46,30.2,5.32,7.17,169.4,1.25,0.75,35,273,0,Low
01-02-2021,2021,5,2021-W05,Tripura,North Tripura,17.1,1.11,0.33,24.5,4.79,7.38,216.5,1.45,0.6,36,228,0,Low
01-02-2021,2021,5,2021-W05,Tripura,South Tripura,0.9,2.77,0.74,21.9,4.98,7.04,175.8,1.81,0.55,31,283,0,Low
01-02-2021,2021,5,2021-W05,Tripura,Sepahijala,3.6,1.17,0.66,23.8,4.26,7.48,152.1,1.66,0.5,34,236,0,Low
01-02-2021,2021,5,2021-W05,Sikkim,East Sikkim,7.6,2.75,0.56,2.9,8.04,7.34,60.7,1.78,0.12,22,157,0,Low
01-02-2021,2021,5,2021-W05,Sikkim,North Sikkim,0.3,0.5,0.88,12.1,8.56,6.8,120.8,1.79,0.5,20,122,0,Low
01-02-2021,2021,5,2021-W05,Sikkim,West Sikkim,3.5,0.5,0.62,13.6,8.32,7.38,100.3,1.76,0.19,17,137,0,Low
01-02-2021,2021,5,2021-W05,Sikkim,South Sikkim,0.1,2.95,0.54,8.4,8.38,7.02,36.4,1.8,0.19,39,110,1,Low
01-02-2021,2021,5,2021-W05,Arunachal Pradesh,Papum Pare,1.5,3.44,0.58,19.2,6.46,6.73,78.2,2.87,0.58,754,2049,9,Medium
01-02-2021,2021,5,2021-W05,Arunachal Pradesh,East Kameng,1.4,3.46,0.57,22.2,4.91,7.85,77.5,3.27,0.69,883,2679,14,High
01-02-2021,2021,5,2021-W05,Arunachal Pradesh,West Siang,6,1.54,0.56,26.4,7.19,6.82,157.8,1.73,1.36,568,1356,7,Medium
01-02-2021,2021,5,2021-W05,Arunachal Pradesh,Tawang,3.5,2.26,0.58,27.7,7.47,6.98,195.9,3.45,0.95,1012,1790,22,High
08-02-2021,2021,6,2021-W06,Assam,Kamrup Metro,8.8,5.36,0.43,30.8,3.51,8.03,205.6,20.74,0.97,2126,1204,31,High
08-02-2021,2021,6,2021-W06,Assam,Dibrugarh,9.2,4.36,0.8,20.3,3.97,7.1,442.3,10.85,4.34,1080,3735,19,High
08-02-2021,2021,6,2021-W06,Assam,Jorhat,0,6.18,0.55,34.8,8.46,7.68,374.4,23.59,5.08,1245,1757,13,High
08-02-2021,2021,6,2021-W06,Assam,Nagaon,8.8,6.22,0.77,26.9,4.62,6.65,141.5,17.73,2.6,863,2734,22,High
08-02-2021,2021,6,2021-W06,Meghalaya,East Khasi Hills,6.8,2.65,0.49,13.4,6.57,7.74,125,2.16,2.53,493,936,0,Low
08-02-2021,2021,6,2021-W06,Meghalaya,West Khasi Hills,4,2.86,0.63,18.4,4.78,8.56,153,1.01,0.39,564,1051,26,High
08-02-2021,2021,6,2021-W06,Meghalaya,Ri-Bhoi,0.8,1.38,0.89,20.4,7.49,6.62,150.6,1.98,3.46,449,568,0,Low
08-02-2021,2021,6,2021-W06,Meghalaya,South West Garo Hills,15.5,3.08,0.81,12.6,3.77,6.8,197.4,3.24,1.15,199,1049,8,Medium
08-02-2021,2021,6,2021-W06,Manipur,Imphal West,3.1,0.79,0.5,25.2,6.21,7.8,132.9,3.29,0.91,25,102,6,Medium
08-02-2021,2021,6,2021-W06,Manipur,Imphal East,3.2,1.88,0.39,28.5,7.44,7.5,460.3,3.98,0.13,27,74,11,Medium
08-02-2021,2021,6,2021-W06,Manipur,Churachandpur,2.9,1.91,0.72,28.1,6.13,7.68,464,3.64,1.37,32,93,6,Medium
08-02-2021,2021,6,2021-W06,Manipur,Thoubal,8.1,0.68,0.8,24.9,7.47,7.14,392.9,3.61,1.38,16,67,8,Medium
08-02-2021,2021,6,2021-W06,Mizoram,Aizawl,3.4,1.34,0.52,31,4.46,6.81,100.7,1.11,0.43,845,1723,35,High
08-02-2021,2021,6,2021-W06,Mizoram,Lunglei,0.4,2.98,0.71,20.5,3.14,7.3,236.8,1.62,0.67,1658,1697,23,High
08-02-2021,2021,6,2021-W06,Mizoram,Kolasib,0.9,1.41,0.64,21.8,3.14,6.5,252.1,1.08,0.76,1318,1437,12,High
08-02-2021,2021,6,2021-W06,Mizoram,Serchhip,4.2,1.66,0.63,24.5,3.1,6.57,196.6,1.08,0.32,1649,1896,23,High
08-02-2021,2021,6,2021-W06,Nagaland,Kohima,12.7,3.06,0.71,24.5,5.58,6.97,110.1,1.39,1.34,145,1534,0,Low
08-02-2021,2021,6,2021-W06,Nagaland,Dimapur,9,3.04,0.42,29.2,5.65,6.59,158.3,1.99,4.84,747,1466,15,Medium
08-02-2021,2021,6,2021-W06,Nagaland,Mokokchung,7.7,1.66,0.67,34,5.42,7.85,145.4,2.47,5.99,513,642,4,Medium
08-02-2021,2021,6,2021-W06,Nagaland,Wokha,11.7,3.37,0.5,26.2,5.44,7.8,169,1.04,1.06,639,1270,6,Medium
08-02-2021,2021,6,2021-W06,Tripura,West Tripura,16.9,2.01,0.43,29.2,5.38,6.53,170.7,2.13,0.58,28,157,0,Low
